iter	RMSE
0	60.23158924
1	58.75352769
2	57.41225087
3	56.27713597
4	55.00196462
5	53.88439324
6	52.88928916
7	51.95096097
8	51.22590164
9	50.46316597
10	49.75970649
11	48.99846602
12	48.35435998
13	47.6992998
14	47.21607495
15	46.88857182
16	46.45153484
17	46.09199358
18	45.67437793
19	45.13617319
20	44.76441366
21	44.4448189
22	44.08585072
23	43.65754004
24	43.39365068
25	43.21931129
26	43.00004781
27	42.7465953
28	42.3792993
29	42.02562847
30	41.79429687
31	41.67658988
32	41.43583564
33	41.08230049
34	40.9225331
35	40.76539362
36	40.47954425
37	40.2255023
38	40.05293447
39	39.82596147
40	39.65407148
41	39.51398449
42	39.39098357
43	39.15865512
44	38.93883749
45	38.81746271
46	38.69082018
47	38.55437196
48	38.36254467
49	38.19057707
50	38.04337872
51	37.99525513
52	37.7556272
53	37.5367991
54	37.3076343
55	37.14888386
56	36.95492298
57	36.7690609
58	36.56522899
59	36.47213963
60	36.25782662
61	36.14743079
62	36.08208742
63	35.69358969
64	35.6309918
65	35.44758534
66	35.26825945
67	35.09715549
68	34.98825285
69	34.93434498
70	34.673855
71	34.56479327
72	34.44328363
73	34.29170952
74	34.20640663
75	34.14885645
76	34.0401733
77	33.89791439
78	33.79534535
79	33.64960417
80	33.54990796
81	33.45823084
82	33.26529034
83	33.02278175
84	32.88931337
85	32.6786372
86	32.63745213
87	32.5281275
88	32.4327272
89	32.34697817
90	32.29280673
91	32.25281814
92	32.14557885
93	32.07056072
94	32.03339503
95	31.91162169
96	31.70208118
97	31.57120641
98	31.47014693
99	31.41280916
100	31.21496426
101	31.19137676
102	31.05387118
103	30.91077679
104	30.73148746
105	30.51921713
106	30.40398444
107	30.29878734
108	30.16030536
109	30.06966659
110	30.02188666
111	29.98268709
112	29.77483718
113	29.67068057
114	29.54309728
115	29.52599937
116	29.41711555
117	29.33362899
118	29.19470828
119	29.10724693
120	28.99786648
121	28.9276617
122	28.7748317
123	28.67947722
124	28.6729264
125	28.5307556
126	28.52317219
127	28.33500525
128	28.25609241
129	28.24654451
130	28.06391852
131	27.9999515
132	27.89042278
133	27.71326703
134	27.64426871
135	27.6360196
136	27.51410035
137	27.50756719
138	27.31292893
139	27.14293162
140	27.04687028
141	26.96247111
142	26.95827959
143	26.79091758
144	26.6459619
145	26.45611725
146	26.44935061
147	26.31396212
148	26.15626497
149	26.06569028
150	25.97141157
151	25.85149292
152	25.76092168
153	25.64706775
154	25.54465204
155	25.40907578
156	25.38787646
157	25.38260117
158	25.37919572
159	25.14760617
160	25.12015688
161	24.95684658
162	24.74836693
163	24.63945682
164	24.50885869
165	24.35117808
166	24.20422725
167	24.19386054
168	24.12896147
169	23.9794282
170	23.97369547
171	23.79647958
172	23.63142059
173	23.53413836
174	23.40436602
175	23.40066233
176	23.25858778
177	23.04775745
178	23.03653983
179	22.95286172
180	22.84114839
181	22.83767798
182	22.83415709
183	22.76022605
184	22.68366686
185	22.68045269
186	22.58146182
187	22.48049061
188	22.38663774
189	22.31151835
190	22.16891688
191	22.07816904
192	21.97524914
193	21.86650507
194	21.80427943
195	21.71238777
196	21.58381625
197	21.47720527
198	21.39793472
199	21.30483824
200	21.27660977
201	21.17596826
202	21.01867001
203	20.88738
204	20.7957785
205	20.71876461
206	20.66930062
207	20.59233909
208	20.58913182
209	20.50203381
210	20.42228568
211	20.2642417
212	20.16734032
213	20.07558238
214	19.98083236
215	19.89706755
216	19.75270578
217	19.69939358
218	19.5987463
219	19.51995632
220	19.40375385
221	19.3166905
222	19.18927091
223	19.10369108
224	19.00287832
225	18.93483664
226	18.93124732
227	18.82983967
228	18.82696143
229	18.7981094
230	18.68609368
231	18.59218763
232	18.51703514
233	18.4571581
234	18.39136441
235	18.26431222
236	18.20113439
237	18.13091145
238	17.99366799
239	17.91847268
240	17.82057611
241	17.76674733
242	17.75723596
243	17.70824451
244	17.6381338
245	17.59154643
246	17.55219559
247	17.47116894
248	17.42921215
249	17.38997956
250	17.2940165
251	17.2603458
252	17.19577044
253	17.19309083
254	17.11551597
255	17.02141606
256	17.01906257
257	16.97968096
258	16.89612713
259	16.82423696
260	16.73292829
261	16.64463362
262	16.57166817
263	16.51778454
264	16.44484583
265	16.35357365
266	16.29059638
267	16.23377147
268	16.17039978
269	16.16779975
270	16.08827607
271	16.02088726
272	15.96209666
273	15.90660193
274	15.8464521
275	15.81409389
276	15.74476943
277	15.6805689
278	15.63388491
279	15.58032562
280	15.53063274
281	15.5211717
282	15.49676723
283	15.4205771
284	15.34552225
285	15.25357148
286	15.17932254
287	15.10706845
288	15.04528505
289	14.98876214
290	14.91090967
291	14.83867729
292	14.80203496
293	14.73892937
294	14.68841148
295	14.5584248
296	14.52119693
297	14.45674165
298	14.40635841
299	14.40458966
